rule_id,level,target,field,match_type,pattern,supermarket,priority
118,subcategory,"Champú, Jabón y Cremas",subcategory_norm,equals,cuidado facial y corporal,,100
119,category,Bebés y Mascotas,category_norm,equals,mascotas,,100
120,subcategory,Mascotas,category_norm,equals,mascotas,,100
121,category,Desayuno y Merienda,category_norm,regex,\b(cafes?|infusion(es)?|cacao)\b,,50
121,category,Desayuno y Merienda,subcategory_norm,regex,\b(cafes?|infusion(es)?|capsulas?)\b,,50
122,subcategory,"Café, Té y Cacao",category_norm,regex,\b(cafes?|infusion(es)?|cacao)\b,,50
122,subcategory,"Café, Té y Cacao",subcategory_norm,regex,\b(cafes?|infusion(es)?|capsulas?)\b,,50
123,category,Con Alcohol,subcategory_norm,contains,alcohol,,50
124,category,Con Alcohol,category_norm,regex,"\b(cervezas, vinos y licores|bebidas)\b",,70
125,category,Con Alcohol,subcategory_norm,regex,\b(bebidas alcoholicas|alcoholes|sidra|champagne)\b,,70
126,category,Sin Alcohol,subcategory_norm,equals,bebidas ecologicas,,100
126,subcategory,Jugos y Zumos,subcategory_norm,equals,bebidas ecologicas,,100
127,category,Panadería,category_norm,equals,frescos,,100
127,category,Panadería,subcategory_norm,equals,panaderia,,100
128,subcategory,Pan artesanal,category_norm,equals,frescos,,100
128,subcategory,Pan artesanal,subcategory_norm,equals,panaderia,,100
129,category,Aceites y Condimentos,subcategory_norm,regex,\b(sal(es)|especias)\b,,50
129,subcategory,Especias y Sal,subcategory_norm,regex,\b(sal(es)|especias)\b,,50
130,category,Cuidado Personal,category_norm,equals,maquillaje,,100
131,subcategory,"Champú, Jabón y Cremas",category_norm,equals,maquillaje,,100
132,category,Platos Listos,category_norm,equals,congelados,,80
132,category,Platos Listos,subcategory_norm,regex,\bpizza(s)\b,,80
133,subcategory,Pizzas y Lasañas,category_norm,equals,congelados,,80
133,subcategory,Pizzas y Lasañas,subcategory_norm,regex,\bpizza(s)\b,,80
134,category,Platos Listos,subcategory_norm,equals,occonfreiaire,,80
135,subcategory,Comida preparada,subcategory_norm,equals,occonfreiaire,,80
136,category,Ingredientes,category_norm,equals,congelados,,80
136,category,Ingredientes,subcategory_norm,regex,\b(verdura(s)?|vegetal(es)?|fruta(s)?)\b,,80
137,subcategory,Verduras y Frutas congeladas,category_norm,equals,congelados,,80
137,subcategory,Verduras y Frutas congeladas,subcategory_norm,regex,\b(verdura(s)?|vegetal(es)?|fruta(s)?)\b,,80
138,subcategory,Pan artesanal,subcategory_norm,equals,pan recien horneado ,,100
139,category,Panadería,subcategory_norm,equals,pan recien horneado ,,100
140,subcategory,Pan artesanal,category_norm,equals,pan y bolleria del dia,,100
141,category,Panadería,category_norm,equals,pan y bolleria del dia,,100
142,subcategory,Pan artesanal,subcategory_norm,contains,pan de horno,,100
143,category,Panadería,subcategory_norm,contains,pan de horno,,100
144,category,Panadería y Sustitutos,category_norm,regex,"\b(panaderia|panaderia y pasteleria|panaderia, bolleria y pasteleria)\b",,20
145,subcategory,Pan de Molde y Tortillas,category_norm,regex,"\b(panaderia|panaderia y pasteleria|panaderia, bolleria y pasteleria)\b",,20
146,category,Lácteos y Huevos,category_norm,equals,yogures y postres,,80
147,subcategory,Yogures,category_norm,equals,yogures y postres,,80
148,category,Bebés y Mascotas,category_norm,equals,bebe,,100
149,subcategory,Bebés,category_norm,equals,bebe,,100
150,category,Conservas,subcategory_norm,regex,\b(aceituna(s)?|encurtido(s)?)\b,,80
151,subcategory,Encurtidos y Aceitunas,subcategory_norm,regex,\b(aceituna(s)?|encurtido(s)?)\b,,80
152,category,Aperitivos,category_norm,contains,aperitivos,,5
153,subcategory,Papas y Snacks salados,category_norm,contains,aperitivos,,5
154,category,Repostería y Masas,subcategory_norm,equals,harinas y levaduras,,100
155,subcategory,Harinas y Levaduras,subcategory_norm,equals,harinas y levaduras,,100
156,category,Cuidado Personal,subcategory_norm,regex,\b(nutricion deportiva|vitaminas y complementos)\b,,100
157,subcategory,Salud y Bienestar,subcategory_norm,regex,\b(nutricion deportiva|vitaminas y complementos)\b,,100
158,category,Granos y Pastas,subcategory_norm,contains,pasta y fideos,,80
159,subcategory,Pasta seca,subcategory_norm,contains,pasta y fideos,,80
160,category,Dulces,category_norm,contains,caramelos,,50
161,subcategory,Caramelos y Golosinas,category_norm,contains,caramelos,,50
162,category,Con Alcohol,category_norm,equals,bodega,,80
163,subcategory,Vinos y Espumosos,subcategory_norm,equals,tinto de verano y sangria,,100
164,category,Desayuno y Merienda,subcategory_norm,equals,tortitas,,100
165,subcategory,Cereales y Galletas,subcategory_norm,equals,tortitas,,100
166,category,Platos Listos,category_norm,equals,congelados,,100
166,category,Platos Listos,subcategory_norm,regex,\b(patatas|croquetas|nuggets)\b,,100
167,subcategory,Patatas y Precocinados,category_norm,equals,congelados,,100
167,subcategory,Patatas y Precocinados,subcategory_norm,regex,\b(patatas|croquetas|nuggets)\b,,100
168,category,Postres,subcategory_norm,equals,hielo,,100
169,subcategory,Helados y Postres fríos,subcategory_norm,equals,hielo,,100
170,category,Postres,subcategory_norm,contains,tartas,,20
171,subcategory,Helados y Postres fríos,subcategory_norm,contains,tartas,,20
172,subcategory,"Carne, Pescado, Pollo",subcategory_norm,contains,marisco,,50
172,subcategory,"Carne, Pescado, Pollo",category_norm,equals,congelados,,50
173,category,Ingredientes,subcategory_norm,contains,marisco,,50
173,category,Ingredientes,category_norm,equals,congelados,,50
174,category,Desayuno y Merienda,subcategory_norm,regex,\b(barritas|turron(es)?)\b,,70
175,subcategory,Cereales y Galletas,subcategory_norm,regex,\b(barritas|turron(es)?)\b,,70
176,category,Desayuno y Merienda,subcategory_norm,regex,\b(miel|siropes?)\b,,70
177,subcategory,Mermeladas y Miel,subcategory_norm,regex,\b(miel|siropes?)\b,,70
178,category,Lácteos y Huevos,category_norm,equals,postres y yogures,,80
179,subcategory,Yogures,category_norm,equals,postres y yogures,,80
180,category,Comidas preparadas,category_norm,equals,sushi del dia,,100
181,subcategory,Comidas preparadas,category_norm,equals,sushi del dia,,100
182,category,Cuidado Personal,category_norm,regex,farmacia$|^farmacia,,100
183,category,Cuidado Personal,subcategory_norm,regex,farmacia$|^farmacia,,100
184,subcategory,Salud y Bienestar,category_norm,regex,farmacia$|^farmacia,,100
185,subcategory,Salud y Bienestar,subcategory_norm,regex,farmacia$|^farmacia,,100
186,subcategory,Licores y Destilados,product_norm,regex,\b(whisk(e)?y|vodka|ron(es)?|ginebra|gin|tequila|brandy|coñac|cognac|licor(es)?|vermouth|vermut|verm(ú|u)t)\b,,100
187,subcategory,Higiene Bucal,subcategory_norm,regex,\b(bucal|dental)\b,,100
188,subcategory,"Champú, Jabón y Cremas",subcategory_norm,regex,\b(champu|perfume|colonias?|higiene facial|higiene intima|afeitado y cuidado para hombre|cuidado corporal|depilacion|gel y jabon de manos|hidratacion corporal|limpieza facial|cuidado intimo|manicura y pedicura|jabon de manos|acondicionadores y mascarillas|gel de ducha|afeitado|espumas y fijadores)\b,,100
189,subcategory,Salud y Bienestar,subcategory_norm,regex,\b(complementos nutricionales|cremas solares)\b,,100
190,subcategory,Ternera / Res,subcategory_norm,regex,\b(vacuno)\b,,80
191,subcategory,Pollo y Aves,subcategory_norm,regex,\b(pollo|aves|pavo)\b,,80
192,subcategory,Cerdo y otros,category_norm,regex,carnes?,,80
192,subcategory,Cerdo y otros,subcategory_norm,regex,\b(cerdo|cordero|conejo|otras carnes|arreglos|despieces)\b,,80
193,subcategory,Ternera / Res,product_norm,regex,\b(vacuno|vaca|ternera)\b,,100
194,subcategory,Pollo y Aves,product_norm,regex,\b(pollo|aves|pavo|gallina|chicken)\b,,100
195,subcategory,Cerdo y otros,product_norm,regex,\b(cerdo|cordero|conejo)\b,,100
196,subcategory,Licores y Destilados,subcategory_norm,regex,\b(whisk(e)?y|vodka|ron(es)?|ginebra|gin|tequila|brandy|coñac|cognac|licor(es)?|vermouth|vermut|verm(ú|u)t)\b,,100
197,subcategory,Arroz y Legumbres,subcategory_norm,regex,\b(arroz|legumbres)\b,,50
198,subcategory,Licores y Destilados,subcategory_norm,regex,\b(alcoholes|bebidas alcoholicas)\b,,5
199,subcategory,Vegetales y Frutas en lata,subcategory_norm,regex,\b(conservas vegetales|conservas de vegetales)\b,,100
200,subcategory,Sopas,category_norm,regex,\b(conservas?)\b,,100
200,subcategory,Sopas,subcategory_norm,regex,\b(caldos?|sopas?|pures?|gazpachos?)\b,,100
201,subcategory,Sopas,category_norm,regex,\b(conservas?)\b,,100
201,subcategory,Sopas,subcategory_norm,regex,\b(berberechos?|sardinas|mejillones)\b,,100
202,subcategory,Platos Preparados en Conserva,subcategory_norm,regex,"\b(pizzas|conservas de carne|platos tradicionales|tortillas, empanadillas y sandwiches)\b",,100
202,subcategory,Platos Preparados en Conserva,category_norm,regex,\b(conservas?)\b,,100
203,subcategory,Ternera / Res,subcategory_norm,equals,carne,,50
204,subcategory,Leches y Bebidas lácteas,subcategory_norm,contains,leche,,10
205,subcategory,Detergentes y Suavizantes,subcategory_norm,regex,\b(cuidado de la ropa)\b,,100
206,subcategory,Papel Higiénico y Servilletas,subcategory_norm,regex,\b(papel higienico)\b,,100
207,subcategory,Hogar,subcategory_norm,regex,\b(utiles del hogar|pilas|bombillas|ambientador(es)?|lavavajillas|limpieza|limpia muebles|insecticidas|cristales|limpiacristales|limpiahogar|bolsas|quimicos|calzado|papel|menaje)\b,,100
207,subcategory,Hogar,category_norm,equals,limpieza y hogar,,100
208,subcategory,Leches y Bebidas lácteas,subcategory_norm,regex,\b(batidos y horchatas|bebida vegetal|listo para beber)\b,,50
208,subcategory,Leches y Bebidas lácteas,category_norm,regex,\b(leches?|lacteos?)\b,,50
209,subcategory,Salsas y Aderezos,subcategory_norm,regex,\b(mayonesa|ketchup|allioli|mostaza|otras salsas)\b,,100
210,subcategory,Aceites y Vinagres,subcategory_norm,regex,\b(vinagres?)\b,,60
211,subcategory,Ternera / Res,subcategory_norm,regex,\b(hamburguesas|carne picada|albondigas)\b,,30
212,subcategory,Comidas preparadas,subcategory_norm,regex,\b(empanados|elaborados)\b,,30
213,subcategory,"Carne, Pescado, Pollo",subcategory_norm,equals,carne congelada,,100
214,subcategory,"Carne, Pescado, Pollo",subcategory_norm,regex,carne,,100
214,subcategory,"Carne, Pescado, Pollo",category_norm,regex,\bcongelados?\b,,100
215,category,Limpieza y Hogar,subcategory_norm,contains,accesorios,,100
215,category,Limpieza y Hogar,category_norm,equals,freidora de aire - airfryer,,100
216,subcategory,Hogar,subcategory_norm,contains,accesorios,,100
216,subcategory,Hogar,category_norm,equals,freidora de aire - airfryer,,100
217,category,Cuidado Personal,subcategory_norm,regex,\b(complementos nutricionales|cremas solares)\b,,100
218,category,Cuidado Personal,subcategory_norm,regex,\b(bucal|dental)\b,,100
219,category,Cuidado Personal,subcategory_norm,regex,\b(champu|perfume|colonias?|higiene facial|higiene intima|afeitado y cuidado para hombre|cuidado corporal|depilacion|gel y jabon de manos|hidratacion corporal|limpieza facial|cuidado intimo|manicura y pedicura|jabon de manos|acondicionadores y mascarillas|gel de ducha|afeitado|espumas y fijadores)\b,,100
220,category,Limpieza y Hogar,category_norm,regex,\b(insecticidas|ambientadores|bazar|conservacion de alimentos|menaje|utensilios de limpieza|limpieza del hogar|limpieza cocina|limpieza bano y wc|papel y celulosa|cuidado de la ropa|calzado)\b,,100
221,category,Bebés y Mascotas,category_norm,regex,\b(gatos|perros|panales|alimentacion infantil|parafarmacia para el bebe|cuidado e higiene infantil)\b,,100
222,category,Cuidado Personal,category_norm,regex,\b(cabello|bano e higiene corporal|boca y sonrisa|cuidado y proteccion corporal|cosmetica|cuidado e higiene facial|proteccion solar|botiquin|cuidado corporal|higiene intima|higiene bucal|bienestar sexual)\b,,100
223,category,Postres,category_norm,equals,helados,,100
224,category,Platos Listos,category_norm,equals,hielo,,100
224,category,Platos Listos,subcategory_norm,equals,pizzas congeladas,,100
225,category,Ingredientes,category_norm,equals,hielo,,100
225,category,Ingredientes,subcategory_norm,equals,mariscos congelados,,100
226,category,Platos Listos,category_norm,equals,pizzas congeladas,,100
227,category,Platos Listos,category_norm,equals,hielo,,100
227,category,Platos Listos,subcategory_norm,equals,patatas,,100
228,subcategory,Hogar,category_norm,regex,\b(insecticidas|ambientadores|bazar|conservacion de alimentos|menaje|utensilios de limpieza|limpieza del hogar|limpieza cocina|limpieza bano y wc|calzado)\b,,100
228,subcategory,Hogar,subcategory_norm,regex,"\b(menaje|limpieza del hogar|limpieza cocina|limpieza bano y wc|ambientadores|automaticos|decorativos y velas|pilas|hermetico|ollas, cazos y accesorios|menaje desechable|escobas, mopas y recogedores|limpiacristales y multiusos|estropajos|lavavajillas maquina|suelos|bayetas microfibra|plantillas de calzado|wc)\b",,100
229,subcategory,Papel Higiénico y Servilletas,category_norm,regex,\b(insecticidas|papel y celulosa)\b,,100
229,subcategory,Papel Higiénico y Servilletas,subcategory_norm,regex,\b(papel y celulosa|papel higienico|servilletas)\b,,100
230,subcategory,Detergentes y Suavizantes,category_norm,regex,\b(insecticidas|cuidado de la ropa)\b,,100
230,subcategory,Detergentes y Suavizantes,subcategory_norm,regex,\b(cuidado de la ropa|aditivos y manchas)\b,,100
231,subcategory,Mascotas,category_norm,regex,\b(gatos|perros)\b,,100
231,subcategory,Mascotas,subcategory_norm,regex,\bpienso para (gatos|perros)\b,,100
232,subcategory,Bebés,category_norm,regex,\b(panales|alimentacion infantil|parafarmacia para el bebe|cuidado e higiene infantil)\b,,100
232,subcategory,Bebés,subcategory_norm,regex,\b(alimentacion infantil|leches infantiles|panales|parafarmacia para el bebe|leche infantil|cuidado del bebe|bano y ducha)\b,,100
233,subcategory,"Champú, Jabón y Cremas",category_norm,regex,\b(cabello|bano e higiene corporal|cuidado y proteccion corporal|cosmetica|cuidado e higiene facial|cuidado corporal)\b,,100
233,subcategory,"Champú, Jabón y Cremas",subcategory_norm,regex,\b(champus?|acondicionadores|cuidado y tratamientos del cabello|geles? de bano|piel|rostro|cremas faciales|cremas y lociones)\b,,100
234,subcategory,Higiene Bucal,category_norm,regex,\b(boca y sonrisa|higiene bucal)\b,,100
234,subcategory,Higiene Bucal,subcategory_norm,regex,"\b(dentifricos|cepillos, recambios y accesorios|colutorio)\b",,100
235,subcategory,Salud y Bienestar,category_norm,regex,\b(proteccion solar|botiquin|higiene intima|bienestar sexual)\b,,100
235,subcategory,Salud y Bienestar,subcategory_norm,regex,\b(suplementos alimenticios|botiquin|cuidado de heridas|compresas|incontinencia|preservativos)\b,,100
236,subcategory,Helados y Postres fríos,category_norm,equals,helados,,100
236,subcategory,Helados y Postres fríos,subcategory_norm,regex,\b(bombon helado|tarrinas)\b,,100
237,subcategory,Pizzas y Lasañas,category_norm,regex,\b(hielo|pizzas congeladas)\b,,100
237,subcategory,Pizzas y Lasañas,subcategory_norm,regex,\b(pizzas congeladas|masa fina)\b,,100
238,subcategory,"Carne, Pescado, Pollo",category_norm,equals,hielo,,100
238,subcategory,"Carne, Pescado, Pollo",subcategory_norm,equals,mariscos congelados,,100
239,subcategory,Patatas y Precocinados,category_norm,equals,hielo,,100
239,subcategory,Patatas y Precocinados,subcategory_norm,equals,patatas,,100
240,subcategory,Especias y Sal,category_norm,equals,"aceites, salsas y especias",,100
240,subcategory,Especias y Sal,subcategory_norm,regex,"\b(ajo, sal y pimienta|sazonadores)\b",,100
241,subcategory,Refrescos y Gaseosas,category_norm,equals,bebidas,,100
241,subcategory,Refrescos y Gaseosas,subcategory_norm,equals,energeticas,,100
242,subcategory,"Champú, Jabón y Cremas",category_norm,regex,\b(cabello|cuidado y proteccion corporal|bano e higiene corporal|proteccion solar)\b,,100
242,subcategory,"Champú, Jabón y Cremas",subcategory_norm,regex,"\b(cepillos, peines y accesorios|fijadores|body milk, hidratacion bajo la ducha|cuidado del cabello|esponjas, manoplas y cepillos de bano|ojos y oreja)\b",,100
243,subcategory,Hogar,category_norm,regex,\b(insecticidas|bazar|ambientadores)\b,,100
243,subcategory,Hogar,subcategory_norm,regex,\b(bazar|conservacion de alimentos|papeleria|insecticidas|barbacoas y accesorios|automovil|pegamentos y siliconas|absorbeolores y antihumedad|aerosol y pistola|electricos)\b,,100
244,subcategory,Higiene Bucal,category_norm,equals,boca y sonrisa,,100
244,subcategory,Higiene Bucal,subcategory_norm,equals,enjuagues bucales,,100
245,subcategory,Helados y Postres fríos,category_norm,equals,helados,,100
245,subcategory,Helados y Postres fríos,subcategory_norm,equals,conos,,100
246,subcategory,Bebés,category_norm,equals,panales,,100
246,subcategory,Bebés,subcategory_norm,regex,\b(toallitas|puericultura)\b,,100
247,subcategory,Salud y Bienestar,category_norm,equals,botiquin,,100
247,subcategory,Salud y Bienestar,subcategory_norm,regex,\b(suero fisiologico y lentillas|alivio del dolor)\b,,100
248,subcategory,Hogar,category_norm,regex,\b(conservacion de alimentos|menaje|limpieza cocina|cuidado de la ropa|bazar|calzado)\b,,100
248,subcategory,Hogar,subcategory_norm,regex,\b(bolsas|papel y moldes horno|vajillas y vasos|quitagrasas|jardineria|limpiador liquido)\b,,100
249,subcategory,"Champú, Jabón y Cremas",category_norm,regex,\b(cosmetica|cuidado corporal)\b,,100
249,subcategory,"Champú, Jabón y Cremas",subcategory_norm,regex,\b(ojos|unas|jabones y geles)\b,,100
250,subcategory,Bebés,category_norm,equals,cuidado e higiene infantil,,100
250,subcategory,Bebés,subcategory_norm,equals,hidratacion y cuidado de la piel,,100
251,subcategory,Mascotas,category_norm,regex,\b(gatos|perros|pajaros|conejos y roedores)\b,,100
251,subcategory,Mascotas,subcategory_norm,regex,\b(accesorios e higiene|pienso para pajaros|pienso para conejos y rodeores|champus para perro)\b,,100
